protocol_id,submission_no,brand_id,manufacturer_id,manufacturer_name,brand_name
61919,256573,243789,5847,SANOFI AVENTIS,DUPILUMAB (SAR231893/REGN668)
62653,258607,245909,8234,PRINCESS MARGARET CANCER CENTRE,VENETOCLAX / AZACITIDINE
62838,258608,245910,11672,ENDEAVOR BIOMEDICINES,TALADEGIB (ENV-101)
62014,256855,244082,6477,XENON PHARMACEUTICALS INC,XEN496 (EZOGABINE)
61289,254784,241874,3601,ASTRAZENECA CANADA INC,TRASTUZUMAB DERUXTECAN (DS-8201A)
60783,253278,240265,11474,"EDITAS MEDICINE, INC.",EDIT-301
61948,256651,243870,1118,ST JOSEPHS HEALTH CENTRE LONDON,BRENTUXIMAB VEDOTIN
62368,257813,245094,8859,ULTRAGENYX PHARMACEUTICAL INC,UX701 / PREDNISOLONE
62479,258164,245454,4794,GOVERNORS OF THE UNIVERSITY OF ALBERTA,HUMULIN-R
62849,259180,246516,8085,ASTRAZENECA AB,AZD7789
60805,253359,240349,9125,IONIS PHARMACEUTICALS INC,ULEFNERSEN (ION363)
61045,254114,241135,8085,ASTRAZENECA AB,SAVOLITINIB / DURVALUMAB / SUNITINIB
63499,260038,247433,11714,INDIVIOR INC,BUPRENORPHINE (RBP-6000)
61170,254433,241475,9926,BLUEPRINT MEDICINES CORPORATION,BLU-945
62186,257337,244596,9276,INSIGHTEC,DEFINITY (PERFLUTREN) / DOXORUBICIN
61632,255365,242493,1288,VERTEX PHARMACEUTICALS INC,TRIKAFTA
63333,260673,248103,4361,UNIVERSITY HEALTH NETWORK,SEMAGLUTIDE/ SITAGLIPTIN
62315,255768,242936,6098,INCYTE CORPORATION,PARSACLISIB (INCB050465)
62687,258673,245982,9295,NUBIYOTA,MET-2 / MET-4
61483,255310,242430,9891,ALBIREO AB,ODEVIXIBAT (A4250)
61854,256392,243599,9227,PROQR THERAPEUTICS,QR-421A
60674,252730,239682,8144,ABBVIE CORPORATION,LEMZOPARLIMAB/ VENETOCLAX/ AZACITIDINE
61017,253999,241017,9847,AMO PHARMA LTD,TIDEGLUSIB
60645,252918,239885,10992,BRISTOL-MYERS SQUIBB CANADA CO.,BMS-986416 (AVID200) / OPDIVO
64022,262738,250295,4544,ALEXION PHARMACEUTICALS INC,DANICOPAN (ALXN2040)
60952,253841,240855,11499,LIB THERAPEUTIC LLC,LIB003
62958,259626,246981,9126,"CANADIAN CANCER TRIALS GROUP, CANCER RESEARCH INSTITUTE, QUEEN'S UNIVERSITY",TUCATINIB
62959,259628,246984,2445,MCMASTER UNIVERSITY,CANNABIS (CANNABIDIOL-DELTA-9-TETRAHYDROCANNABINOL)
61397,255099,242204,12157,RAIN ONCOLOGY INC,MILADEMETAN (RAIN-32)
61400,255104,242209,28,HOFFMANN-LA ROCHE LIMITED,"GIREDESTRANT (GDC-9545, RO7197597) / LETROZOLE / ANASTROZOLE / EXEMESTANE / TAMOXIFEN"
61688,255874,243050,11592,SBI ALAPHARMA CANADA INC.,AMINOLEVULINIC ACID
60967,253900,240919,5552,LAWSON HEALTH RESEARCH INSTITUTE,QUETIAPINE
61320,254915,242010,11551,PULMOCIDE LTD,OPELCONAZOLE (PC945)
61881,256475,243683,8178,UNIVERSITY OF PENNSYLVANIA,ORENCIA
60709,253107,240084,11468,VIRACTA THERAPEUTICS INC.,NANATINOSTAT/ VALGANCICLOVIR/ GANCICLOVIR
62056,256965,244201,6905,ACCELERON PHARMA INC,SOTATERCEPT (ACE-011)
63692,261727,249237,5120,"PHARMA MAR, S.A.",LURBINECTEDIN (PM01183) / TOPOTECAN / IRINOTECAN
60660,252953,239923,3601,ASTRAZENECA CANADA INC,BENRALIZUMAB (MEDI-563)
61144,254351,241389,4091,GLAXOSMITHKLINE INC,RESPIRATORY SYNCYTIAL VIRUS (RSV) PREFUSION PROTEIN F3 OLDER ADULT (RSVPREF3 OA) VACCINE (GSK3844766A)
62370,257819,245100,28,HOFFMANN-LA ROCHE LIMITED,TECENTRIQ
60855,253562,240555,11495,"NIMBUS LAKSHMI, INC.",NDI-034858
64040,262764,250325,7360,QU BIOLOGICS INC,QBKPN SITE SPECIFIC IMMUNOMODULATOR (SSI)
64106,262982,250553,10498,HORIZON THERAPEUTICS IRELAND DAC,"FIPAXALPARANT (AMG 670, HZN-825)"
65448,266873,254652,11939,"PRIOVANT THERAPEUTICS, INC",BREPOCITINIB (PF-06700841)
64500,264126,251764,5947,MCMASTER UNIVERSITY MEDICAL CENTRE,TRYPTOPHAN
64776,264903,252595,9276,INSIGHTEC,PERFLUTREN /PEMBROLIZUMAB
65363,265195,252905,10155,PFIZER CANADA ULC,MARSTACIMAB (PF-06741086)
63715,261816,249337,6763,GILEAD SCIENCES CANADA INC,TRODELVY / PEMBROLIZUMAB
63716,261818,249339,6763,GILEAD SCIENCES CANADA INC,TRODELVY
61605,255122,242227,9770,FUSION PHARMACEUTICALS INC.,"[225AC]-FPI-1966, [111IN]-FPI-1967, FPI-1963"
63239,260439,247857,10844,MITSUBISHI TANABE PHARMA DEVELOPMENT AMERICA INC,EDARAVONE (MT-1186)
61571,255567,242732,488,ELI LILLY CANADA INC,LY3372689 / FLORTAUCIPIR 18F
63263,260510,247930,7263,OTTAWA HOSPITAL RESEARCH INSTITUTE,ALLOGENIC UMBILICAL CORD MESENCHYMAL STROMAL CELLS (UC-MSCS)
62777,258892,246213,7921,SALIX PHARMACEUTICALS INC,RIFAXIMIN
61276,254758,241848,7516,JANSSEN INC,DARATUMUMAB / LENALIDOMIDE
63067,260086,247482,9905,SASKATCHEWAN HEALTH AUTHORITY ¿ REGINA AREA,FERRIC DERISOMALTOSE / IRON SUCROSE
