"protocol_id","submission_no","brand_id","manufacturer_id","manufacturer_name","brand_name"
26362,162568,145776,5072,UNIVERSITY OF OTTAWA INSTITUTE FOR MENTAL HEALTH RESEARCH,KETAMINE/ MIDAZOLAM
26403,162669,145880,1253,MOUNT SINAI HOSPITAL,GABAPENTIN
26441,162777,145983,6291,SUNNYBROOK HEALTH SCIENCES CENTRE,AVASTIN (BEVACIZUMAB) / FLUOROURACIL
26501,162950,146135,4947,UNIVERSITY OF OTTAWA HEART INSTITUTE,TICAGRECOR/ RUBIDIUM CHLORIDE RB 82
26504,162961,139303,488,ELI LILLY CANADA INC,IXEKIZUMAB (LY2439821)
26505,162965,146148,1403,JEWISH GENERAL HOSPITAL,INGAP PEPTIDE/ USTEKINUMAB
26510,162975,146156,488,ELI LILLY CANADA INC,TADALAFIL
26513,162979,146159,158,AMGEN CANADA INC,AMG 386 (TREBANANIB)
26513,162979,146315,158,AMGEN CANADA INC,PEGYLATED LIPOSOMAL DOXORUBICIN
26514,162984,146163,6920,SANOFI AVENTIS RECHERCHE & DEVELOPPEMENT,SAR339658
26516,162994,146172,8273,ACCORD HEALTHCARE LTD,TACROLIMUS
26521,163018,146192,2008,ST MICHAELS HOSPITAL,ENBREL
26525,163024,146199,5719,APOPHARMA INC,DEFERIPRONE
26532,163044,146211,2932,NOVARTIS PHARMACEUTICALS CANADA INC,LUCENTIS (RANIBIZUMAB)
26536,163051,146216,8066,PUMA BIOTECHNOLOGY INC,NERATINIB (HKI-272)/ CAPECITABINE
26538,163060,146230,4543,CHILDRENS ONCOLOGY GROUP,ADREVIEW/CAMPTOSAR/CHIMERIC MONOCLONAL ANTIBODY 14.18/FLUGLUCOSAN/LEUKINE/TEMODAL/TORISEL
26543,163068,146239,7350,TEVA CANADA LIMITED,QUETIAPINE
26554,163110,146272,7310,ONYX THERAPEUTICS INC,CARFILZOMIB (PR-171)
26555,163111,146274,2932,NOVARTIS PHARMACEUTICALS CANADA INC,LDE225 / TEMOZOLOMIDE
26559,163116,146277,8137,PRINCESS MARGARET HOSPITAL PHASE 2 CONSORTIUM,VELIPARIB (ABT-888)/ GEMCITABINE/ CISPLATIN
26560,163117,146278,4091,GLAXOSMITHKLINE INC,HERPES ZOSTER (HZ) VACCINE
26562,163119,146279,2051,UNIVERSITY OF MANITOBA,MILRINONE
26563,163120,146281,3199,ACORDA THERAPEUTICS INC,AC105
26576,163146,146299,158,AMGEN CANADA INC,AMG 747
26581,163160,146309,7954,THUNDER BAY REGIONAL RESEARCH INSTITUTE,SULFUR HEXAFLUORIDE/ PERFLUOROPROPANE
26584,163182,146329,4361,UNIVERSITY HEALTH NETWORK,GLUCAGON
26584,163182,146631,4361,UNIVERSITY HEALTH NETWORK,HUMATROPE
26584,163182,146633,4361,UNIVERSITY HEALTH NETWORK,HEPARIN
26584,163182,146635,4361,UNIVERSITY HEALTH NETWORK,HUMULIN R
26584,163182,146637,4361,UNIVERSITY HEALTH NETWORK,SANDOSTATIN
26594,163209,146351,13032,CROSS CANCER INSTITUTE - CANCER CARE ALBERTA,"LU-DOTA-TATE [177LU-DOTA0, TYR3] OCTREOTATE"
26598,163217,146356,2031,LUNDBECK CANADA INC,ARIPIPRAZOLE
26600,163222,146360,4543,CHILDRENS ONCOLOGY GROUP,CASPOFUNGIN/ VORICONAZOLE/ FLUCONAZOLE
26602,163224,146361,7377,TARIS BIOMEDICAL INC,LIRIS
26604,163227,146364,7778,THRASOS INNOVATION INC,THR-184
26609,163238,146374,9723,RECORDATI RARE DISEASES CANADA INC,PASIREOTIDE (SOM230)
26619,163263,146394,8601,FORUM PHARMACEUTICALS INC,EVP 6124
26622,163266,146396,6835,MEDIMMUNE LLC,CAT-8015 (MOXETUMOMAB PASUDOTOX)
26636,163313,146443,6133,JAZZ PHARMACEUTICALS INC,ASPAREC
26638,163324,146446,8621,TRANSITION THERAPEUTICS IRELAND LIMITED,ELND005
26639,163325,146447,3936,MILLENNIUM PHARMACEUTICALS INC,IXAZOMIB (MLN9708)/ LENALIDOMIDE
26646,163354,146474,6037,THRESHOLD PHARMACEUTICALS INC,TH-302/ PIMONIDAZOLE/ 18F FLUOROAZOMYCIN ARABINOSIDE/ 18F FLORTANIDAZOLE
26648,163357,146477,1288,VERTEX PHARMACEUTICALS INC,LUMACAFTOR (VX-809)/ IVACAFTOR (VX-770)
26649,163359,146480,773,"BC CANCER, PART OF THE PROVINCIAL HEALTH SERVICES AUTHORITY",ABIRATERONE/ PREDNISONE
26650,163367,146488,1288,VERTEX PHARMACEUTICALS INC,LUMACAFTOR (VX-809)/ IVACAFTOR (VX-770)
26653,163380,146501,4848,BRISTOL-MYERS SQUIBB CANADA,BMS-914143 (PEGINFLAMBDA)/RIBAVIRIN/TELAPREVIR
26656,163389,146509,3735,SHIRE CANADA INC,LISDEXAMFETAMINE (SPD489)
26660,163411,146531,4091,GLAXOSMITHKLINE INC,HERPES ZOSTER (HZ) VACCINE
26673,163465,146576,568,HOSPITAL FOR SICK CHILDREN,KETAMINE/ PROPOFOL
26675,163468,146580,3428,UNIVERSITY OF CALIFORNIA,CLOPIDOGREL
26680,163476,146585,7272,ASTELLAS PHARMA GLOBAL DEVELOPMENT INC,ASG-22CE
26683,163483,146590,2932,NOVARTIS PHARMACEUTICALS CANADA INC,LDE225
26684,163484,146591,9125,IONIS PHARMACEUTICALS INC,NUSINERSEN (ISIS 396443)
26687,163498,146605,4034,ROBARTS RESEARCH INSTITUTE,HYPERPOLARIZED XENON-129/ HYPERPOLARIZED HELIUM-3
26695,163511,146609,4784,CAPITAL DISTRICT HEALTH AUTHORITY,RIASTAP
26696,163513,146610,7850,IRONSHORE PHARMACEUTICALS & DEVELOPMENT INC,DEXTROAMPHETAMINE (HLD100)
26700,163519,146615,488,ELI LILLY CANADA INC,PRASUGREL (LY640315)
26701,163520,146614,4366,CENTRE FOR ADDICTION AND MENTAL HEALTH,VARENICLINE
26704,163530,146643,2031,LUNDBECK CANADA INC,LU AE58054
26705,163531,146630,158,AMGEN CANADA INC,AMG 145
26706,163543,146646,7125,ALBERTA HEALTH SERVICES,TEMOZOLOMIDE
26709,163551,146656,7516,JANSSEN INC,JNJ-38518168
26718,163582,146686,6987,HAMILTON HEALTH SCIENCES CORPORATION,SIMVASTATIN/ ATENOLOL/ RAMIPRIL/ HYDROCHLOROTHIAZIDE/ ACETYLSALICYLIC ACID/ VITAMIN D3
26720,163596,146698,7961,PRINCESS MARGARET HOSPITAL PHASE I CONSORTIUM,MK2206/DINACICLIB
26729,163636,146731,53,FERRING INC,ELOBIXIBAT
26730,163639,146734,53,FERRING INC,ELOBIXIBAT (FE999314)
26732,163642,146348,28,HOFFMANN-LA ROCHE LIMITED,ACTEMRA (TOCILIZUMAB SC)
26733,163643,146736,53,FERRING INC,ELOBIXIBAT (FE999314)
26734,163649,146348,28,HOFFMANN-LA ROCHE LIMITED,ACTEMRA
26741,163668,146755,8074,RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE,OXALIPLATIN/ DOCETAXEL/ FLUOROURACIL
26749,163696,146779,4848,BRISTOL-MYERS SQUIBB CANADA,METFORMIN
26755,163730,146820,488,ELI LILLY CANADA INC,LY2439821 (IXEKIZUMAB)
26764,163759,146841,2008,ST MICHAELS HOSPITAL,NABILONE
26771,163789,146872,488,ELI LILLY CANADA INC,AXIRON (TESTOSTERONE)
26772,163793,146876,8144,ABBVIE CORPORATION,ABT-199 (GDC-0199)
26775,163799,146881,4848,BRISTOL-MYERS SQUIBB CANADA,BMS-936558 (NIVOLUMAB) / IPILIMUMAB
26776,163800,146884,158,AMGEN CANADA INC,AMG 334
26777,163801,146885,7991,JANSSEN RESEARCH AND DEVELOPMENT LLC,SIMPONI (CNTO 148)
26792,163843,146921,117,PFIZER CANADA INC,FRAGMIN (DALTEPARIN SODIUM)
26800,163856,146930,4877,EISAI INC,LENVATINIB (E7080)
26801,163857,146931,28,HOFFMANN-LA ROCHE LIMITED,ZELBORAF (RO5185426)/ TIZANIDINE HCL
26813,163897,146961,8198,TAURX THERAPEUTICS LTD,"LEUCO-METHYLTHIONINIUM BIS(HYDROMETHANESULFONATE) [LMTM, TRX0237]"
26815,163899,146963,8198,TAURX THERAPEUTICS LTD,"LEUCO-METHYLTHIONINIUM BIS(HYDROMETHANESULFONATE) (LMTM, TRX0237)"
26816,163900,146964,8198,TAURX THERAPEUTICS LTD,"LEUCO-METHYLTHIONINIUM BIS(HYDROMETHANESULFONATE) (LMTM, TRX0237)"
26818,163902,146965,5506,DERMA SCIENCES CANADA INC.,DSC127 (NORLEU3-ANGIOTENSIN 1-7)
26833,163961,147016,8404,DR MICHEL PRUDHOMME,AMANTADINE / METHYLPHENIDATE
26837,163987,141221,2932,NOVARTIS PHARMACEUTICALS CANADA INC,SECUKINUMAB (AIN457)
26839,164002,147054,7940,DOUGLAS MENTAL HEALTH UNIVERSITY INSTITUTE,ECOPIPAM
26845,164031,147081,8297,OTTAWA HEART INSTITUTE RESEARCH CORPORATION,ATORVASTATIN
26850,164048,147093,8137,PRINCESS MARGARET HOSPITAL PHASE 2 CONSORTIUM,IBRUTINIB
26851,164050,147095,4361,UNIVERSITY HEALTH NETWORK,FORTEO
26853,164052,147096,9761,AOSPINE NORTH AMERICA,RILUZOLE
26855,164055,147098,7654,CELGENE INC,OZANIMOD (RPC1063)/ INTERFERON BETA-1A
26866,164078,147115,8299,"AUSPEX PHARMACEUTICALS, INCORPORATED",SD-809
26869,164083,147118,263,TILLOTTS PHARMA AG,TP05 (MESALAZINE)
26880,164116,147146,7628,MERCK CANADA INC,MK-5172/ MK-8742/ RIBAVIRIN/ PEGINTERFERON ALFA-2B
26888,164141,147166,4366,CENTRE FOR ADDICTION AND MENTAL HEALTH,[11-C]-DTBZ
26896,164164,147183,4543,CHILDRENS ONCOLOGY GROUP,BUSULFAN/ MELPHALAN/ TOPOTECAN/ CYCLOPHOSPHAMIDE/ CISPLATIN/ ETOPOSIDE/ ETOPOSIDE PHOSPHATE/ FLUDEOXYGLUCOSE 18F/ IOBENGUANE 123 I
26933,164252,147248,6740,PTC THERAPEUTICS INC,ATALUREN (PTC124)
26936,164266,108694,3728,GENZYME CANADA INC,IOHEXOL
26945,164297,147287,3601,ASTRAZENECA CANADA INC,FORXIGA (DAPAGLIFLOZIN)
26946,164298,147288,8306,AB SCIENCE S.A.,MASITINIB (AB1010)
26948,164300,147291,8307,DR. VLADIMIR DZAVIK,EXENATIDE
26967,164366,147346,1954,BAYER INC,REGORAFENIB (BAY 73-4506)
26973,164387,107086,4848,BRISTOL-MYERS SQUIBB CANADA,ORENCIA
26980,164412,147386,159,ALLERGAN INC,CARMELLOSE
26991,164435,147405,2932,NOVARTIS PHARMACEUTICALS CANADA INC,EVEROLIMUS (RAD001)
26992,164436,147406,751,REGENERON PHARMACEUTICALS INC,REGN668 (SAR231893)
26994,164442,147414,981,NOVO NORDISK CANADA INC,LIRAGLUTIDE
27000,164450,147421,32,BOEHRINGER INGELHEIM (CANADA) LTD LTEE,NINTEDANIB (BIBF 1120 ES)
27005,164460,147429,7217,MEDICAGO INC,H5 VLP INFLUENZA VACCINE
27011,164474,147441,4361,UNIVERSITY HEALTH NETWORK,ISOFLURANE
27012,164477,147446,2051,UNIVERSITY OF MANITOBA,CYCLOSERINE
27014,164487,147452,4091,GLAXOSMITHKLINE INC,GSK1120212
27019,164503,147466,488,ELI LILLY CANADA INC,LY3015014
27021,164510,147476,568,HOSPITAL FOR SICK CHILDREN,LENALIDOMIDE/ ISOTRETINOIN/ CHIMERIC MONOCLONAL ANIBODY (CH14.18)
27028,164539,147505,8381,TAKEDA DEVELOPMENT CENTER AMERICAS INC,TAK-875
27034,164551,147513,8319,AQUINOX PHARMACEUTICALS INC,AQX-1125
27035,164556,147518,1288,VERTEX PHARMACEUTICALS INC,IVACAFTOR (VX-770)
27036,164561,147524,8238,LABORATOIRES NUTRITION ET CARDIOMÉTABOLISME,STABLOR
27039,164566,147526,6647,STEMCELLS INC,HUMAN CENTRAL NERVOUS SYSTEM STEM CELLS (HUCNS-SC)
27040,164567,147527,7887,UCB BIOSCIENCES INC,VIMPAT (LACOSAMIDE)
27045,164581,147550,568,HOSPITAL FOR SICK CHILDREN,PERINDOPRIL
27047,164596,147556,5963,ARRAY BIOPHARMA INC,BINIMETINIB (MEK162)
27048,164605,147570,4361,UNIVERSITY HEALTH NETWORK,METFORMIN
27052,164626,147593,981,NOVO NORDISK CANADA INC,FIASP (FASTER-ACTING INSULIN ASPART)
27054,164631,147597,8306,AB SCIENCE S.A.,MASITINIB (AB1010)
27055,164638,147604,6953,SEATTLE CHILDREN S HOSPITAL,ACTIVASE (ALTEPLASE)
27062,164651,147615,5044,CATALYST PHARMACEUTICALS PARTNERS,AMIFAMPRIDINE
27067,164671,147638,8234,PRINCESS MARGARET CANCER CENTRE,NERATINIB
27069,164679,147640,7459,MERCK SHARP & DOHME CORP,MK-3102/ SITAGLIPTIN (MK-0431)
27071,164681,147641,8144,ABBVIE CORPORATION,ELAGOLIX (ABT-620)/ ESTRADIOL-NORETHINDRONE
27072,164691,147651,3601,ASTRAZENECA CANADA INC,VISTUSERTIB (AZD8186)
27084,164740,147693,4366,CENTRE FOR ADDICTION AND MENTAL HEALTH,VARENICLINE
27091,164768,147724,8326,ZS PHARMA INC,ZIRCONIUM SILICATE
27094,164786,147743,4366,CENTRE FOR ADDICTION AND MENTAL HEALTH,GEMFIBROZIL
27097,164793,147750,1954,BAYER INC,FINERENONE (BAY 94-8862)
27138,164907,147847,6987,HAMILTON HEALTH SCIENCES CORPORATION,BOTOX
27141,164916,147855,158,AMGEN CANADA INC,AMG 416
27145,164936,147872,4366,CENTRE FOR ADDICTION AND MENTAL HEALTH,[F-18]-FEPPA INJECTION/ [11-C]-PIB INJECTION
27153,164971,147906,8333,UNIVERSITY OF CHICAGO MEDICAL CENTER,POMALIDOMIDE/ CARFILZOMIB
27154,164972,147908,8197,STANDARD PROCESS INC,A-F BETAFOOD
27156,164975,146501,4848,BRISTOL-MYERS SQUIBB CANADA,BMS-914143/ DACLATASVIR/ RIBAVIRIN
27157,164977,147912,488,ELI LILLY CANADA INC,TADALAFIL
27160,164984,147918,5290,S T A R T CLINIC FOR MOOD & ANXIETY DISORDERS,VITAMIN D3
27164,164991,147922,3601,ASTRAZENECA CANADA INC,OLAPARIB (AZD2281)
27165,165002,147934,28,HOFFMANN-LA ROCHE LIMITED,RO5503781
27168,165012,147944,1954,BAYER INC,GADOVIST
27172,165016,147948,158,AMGEN CANADA INC,AMG 145
27188,165055,147982,3936,MILLENNIUM PHARMACEUTICALS INC,IXAZOMIB (MLN9708)
27191,165059,147985,8601,FORUM PHARMACEUTICALS INC,EVP 6124
27206,165111,148032,2328,ISIS PHARMACEUTICALS INC,ISIS 404173
27208,165123,148043,1397,AMGEN INC,ABP 215 / BEVACIZUMAB/CARBOPLATIN / PACLITAXEL
27210,165125,148044,2932,NOVARTIS PHARMACEUTICALS CANADA INC,BUPARLISIB (BKM120) / CARBOPLATIN / PACLITAXEL
