manufacturer_id,manufacturer_name
4708,0 DUMMY COMPANY
4742,ACTELION PHARMACEUTICALS CANADA INC
3586,ROYAL VICTORIA HOSPITAL
1544,ST JOSEPHS HOSPITAL HAMILTON
3155,CHIESI FARMACEUTICI S.P.A.
3826,TORONTO WESTERN HOSPITAL
8826,SHIRE PHARMA CANADA ULC
9633,BIOVERATIV THERAPEUTICS INC
9634,GILBERT BLAISE INC
10472,PACIFIC PEDIATRIC NEURO-ONCOLOGY CONSORTIUM
7973,LABORATOIRES THEA
8006,SORICIMED BIOPHARMA INC.
8845,CHILD & FAMILY RESEARCH INSTITUTE
9724,PHARMA TWO B LTD
9729,APPILI THERAPEUTICS INC
2560,HOPE PHARMACEUTICALS
10416,GRANT PAGDIN
10417,DR NATASHA LEIGHL
10627,DR BENICIO FREY
8074,RESEARCH INSTITUTE OF THE MCGILL UNIVERSITY HEALTH CENTRE
11698,GUARD THERAPEUTICS INTERNATIONAL AB
10111,"PELLEPHARM, INC"
10123,CRITERIUM INC
10134,BASILEA PHARMACEUTICA INTERNATIONAL LTD
10136,ALECTOR INC
10148,LEVO THERAPEUTICS INC
8514,LONDON SCHOOL OF HYGIENE AND TROPICAL MEDICINE
8520,DR JEFFREY MEYER
9285,"SPYRYX BIOSCIENCES, INC"
9293,"ARROWHEAD PHARMACEUTICALS, INC."
9302,ESTETRA SPRL
9304,RTOG FOUNDATION
9315,SPARK THERAPEUTICS INC
9337,CIUSSS DU NORD-DE-L'ILE-DE-MONTRÉAL - HÔPITAL DU SACRÉ-COEUR DE MONTRÉAL.
10181,GOGIUNTA
7672,CHIMERIX INC
7679,SUNNYBROOK RESEARCH INSTITUTE
8578,DR ASIM CHEEMA
9374,LYCERA CORP
9377,GALERA THERAPEUTICS INC
10215,GALAPAGOS NV
10248,CENTRE INTÉGRÉ UNIVERSITAIRE DE SANTÉ ET DE SERVICES SOCIAUX DE L'EST-DE-L'ILE-D
7758,SHIONOGI INC
8606,SCICLONE PHARMACEUTICALS INC
8608,DR HAIM ARIE ABENHAIM
8646,CIVITAS THERAPEUTICS INC
9401,DERMAVANT SCIENCES LTD
9406,DR. EVELYNE D. TROTTIER
9408,DR MARIE BUSSIERES
10284,"RADIUS PHARMACEUTICALS, INC"
10298,"SCHOLAR ROCK, INC"
10307,AURORA CANNABIS ENTERPRISES INC
10310,"UNIVERSITY OF BRITISH COLUMBIA, SCHOOL OF HEALTH AND EXERCISE SCIENCE"
10327,"NAUREX, INC"
10328,"VEDANTA BIOSCIENCES, INC"
7766,JUBILANT HOLLISTERSTIER LLC
8656,INTERNATIONAL CENTER FOR HEALTH OUTCOMES AND INNOVATION RESEARCH
9447,REILEY PHARMACEUTICALS INC
9484,ARTHOGEN B.V
9499,"ROYAL JUBILEE HOSPITAL, VANCOUVER ISLAND HEALTH AUTHORITY"
10350,AFYX THERAPEUTICS A/S
10373,BRITISH COLUMBIA CENTRE ON SUBSTANCE USE
10393,SYNLOGIC OPERATING COMPANY INC.
7818,ACADIA PHARMACEUTICALS INC
7850,IRONSHORE PHARMACEUTICALS & DEVELOPMENT INC
9519,DR DENNIS JENSEN
9557,IMMUNOCORE LTD.
8761,ALIOS BIOPHARMA
9571,DR ALICE WEI
9595,NS PHARMA INC
9606,DEBIOPHARM INTERNATIONAL SA
10661,UNITY HEALTH TORONTO
10056,CALLIDITAS THERAPEUTICS AB
10098,ISOFOL MEDICAL AB
12063,"AVM BIOTECHNOLOGY, LLC"
12025,BRIACELL THERAPEUTICS CORP.
12255,ABCURO INC
12745,"SUN PHARMACEUTICAL INDUSTRIES, INC."
12833,"HARMONY BIOSCIENCES MANAGEMENT, INC."
12617,DR. SARA KURUVILLA
12068,NMD PHARMA A/S
